,album,artist,duration_ms,energy,genredanceability,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
1722,Mind,Levels,184000,0.959,,2.8e-05,8,0.358,-4.291,1,0.0,0.0938,125.062,4,4moacyT4mofVY51m36LFFY,Mind,0.505
1723,Exhale,Unprocessed,207177,0.984,,0.784,1,0.262,-2.535,1,26.0,0.255,142.385,3,1tamD4SIIH3yyiRihgd24a,Exhale,0.374
1724,Seven,The Royal,228987,0.965,,0.0508,6,0.199,-3.742,1,0.0,0.145,132.932,4,376dbZEPVSH9S1S0nJBSNK,Seven,0.384
1725,ObZen,Meshuggah,442733,0.998,,0.88,3,0.284,-5.64,0,0.0,0.0895,114.831,4,4E6wpXABj8XosZEPXZz2OK,Bleed,0.18
1726,Rest,Curses,243017,0.849,,5.37e-06,11,0.137,-3.931,1,31.0,0.0638,114.896,4,4PKGtdh5xf04gf1b5OlXR2,Rest,0.575
1727,Animals as Leaders - Encore Edition,Animals As Leaders,401129,0.936,,0.731,4,0.349,-6.683,1,35.0,0.0909,155.006,3,6i8TDqnHN7GF9uU3LJCklq,Cafo,0.12
1728,Frown Upon Us,As A Conceit,273853,0.939,,0.356,6,0.128,-3.925,0,0.0,0.0663,122.072,4,4omlzWgMPpQ58GZB19aJyi,Boneheads,0.316
1729,Curses,I Am Haunted,208955,0.973,,1.85e-06,10,0.15,-2.985,0,32.0,0.178,104.401,4,0Wjm38BazYve8BfoWX34Im,Curses,0.316
1730,Exodus,Shokran,265714,0.989,,0.00102,11,0.313,-3.127,0,39.0,0.119,122.535,4,4g74CSDNPepcXXWyJ53wry,Creatures from the Mud,0.137
1731,Heirloom,A Sense of Purpose,262153,0.945,,1.72e-05,6,0.102,-5.909,1,33.0,0.0785,129.994,4,30a1OAy25aiX9vdYxy42om,Heirloom,0.0784
1732,Life After Death,If I Were You,221454,0.991,,0.0,6,0.244,-3.359,0,35.0,0.141,110.048,4,1s7EIVMVF4ANXFT26exE1A,Pull Me Under,0.115
1733,Anxiety,Smoke Signals,216923,0.955,,2.82e-06,10,0.65,-5.66,0,28.0,0.079,115.998,4,72BwWkWpaAC2QaOlsliid9,Moving on,0.324
1734,Paradox,Valis Ablaze,365571,0.981,,0.1,3,0.561,-3.433,0,26.0,0.125,104.956,4,1ROfYhP82KdoGemAD026Sj,Paradox,0.353
1735,Structures for Creation,Circle of Contempt,177241,0.983,,0.109,0,0.245,-2.846,1,27.0,0.146,129.796,4,1A8c9xGKngFLZUWQtUPVTf,Ascend from Disruption,0.361
1736,I,Jason Richardson,255086,0.995,,5.18e-05,8,0.214,-1.418,1,36.0,0.0854,120.022,4,0PtGZdKZu8qdFTsIoOS7jo,Retrograde (feat. Spencer Sotelo),0.319
1737,Polarize,Aviana,194667,0.974,,1.25e-06,1,0.389,-3.214,1,0.0,0.116,105.516,4,14WCtr9osFJRphLTikqVrM,Solar,0.178
1738,"Amarna, Pt. 1",V3ctors,259432,0.983,,0.000214,6,0.103,-4.818,0,26.0,0.301,78.098,4,6XHpv3Ll4amR9EwrMeYm50,The Quartz Grave,0.0792
1739,We Are Infinite,Scenery With Solace,267267,0.944,,0.000733,6,0.103,-5.338,1,27.0,0.103,124.996,4,2FrQCMqgCw17gANiCoyLpa,We Are Infinite,0.157
1740,Necrosis,Harkla,301750,0.922,,0.00821,2,0.195,-6.953,1,28.0,0.0447,140.055,4,5K6xqw7d635FygPni9IIqK,We the Shaded,0.403
1741,The Violent Sound,"Time, The Valuator",295263,0.89,,0.00137,4,0.11,-5.66,0,0.0,0.0904,95.048,4,1zjsWaTZzxv8MVA4I594s7,The Violent Sound,0.0438
1742,Ghost Pains,Life Barrier,259875,0.862,,0.000834,1,0.0905,-10.112,1,1.0,0.0741,118.665,4,3gpnItKMprGsjbYGwCuP4P,Ghost Pains,0.201
1743,Different Animals,Volumes,136907,0.907,,6.56e-05,1,0.0999,-4.882,1,34.0,0.105,193.754,4,0zNjr7ql6ifPvmNdSDx1qt,Left For Dead,0.143
1744,Hollow,RVNT,228000,0.988,,0.036,8,0.319,-3.356,1,2.0,0.2,120.007,4,5BQhHV7gtjReTSxhYXKO78,Hollow,0.0997
1745,Atlas,Parkway Drive,258587,0.99,,0.000405,6,0.165,-3.498,1,58.0,0.156,110.313,4,4G8EhnfKvBQVlOJ4xXCHpQ,Wild Eyes,0.197
1746,Scream Aim Fire Deluxe Edition,Bullet For My Valentine,247693,0.995,,0.00452,2,0.287,-3.14,1,48.0,0.1,127.971,4,2ZCCkqminNZiitXgbFArXM,Waking the Demon,0.142
1747,Waking The Fallen,Avenged Sevenfold,283827,0.875,,0.00109,2,0.255,-5.446,0,6.0,0.0666,92.53,4,20g7z9R1wjE7EtVnB7XEjS,Unholy Confessions,0.524
1748,Lost Forever // Lost Together,Architects,232939,0.956,,0.000252,8,0.119,-4.888,1,49.0,0.141,159.977,4,4b7oCl6v6kyH10igobXEuy,Broken Cross,0.174
1749,An Ocean Between Us,As I Lay Dying,260787,0.981,,0.00549,2,0.129,-4.084,0,57.0,0.12,165.018,4,7lYrz70DntWR7o8Sqfz0Ok,The Sound Of Truth,0.277
1750,Sempiternal (Expanded Edition),Bring Me The Horizon,228147,0.859,,0.194,4,0.387,-2.827,0,67.0,0.0595,170.527,5,0WSa1sucoNRcEeULlZVQXj,Can You Feel My Heart,0.354
1751,Alive or Just Breathing,Killswitch Engage,253760,0.943,,0.0397,3,0.122,-4.996,1,49.0,0.138,177.971,4,3uXR8I4kT1WtvtHTEj4ZHG,My Last Serenade,0.142
1752,Disgusting,Beartooth,213576,0.972,,0.0,7,0.666,-2.642,0,66.0,0.138,128.092,4,03jdl5GTBhKsgB1Yw8mVPh,In Between,0.449
1753,Stand Up And Scream,Asking Alexandria,279227,0.892,,0.0,2,0.278,-4.106,0,62.0,0.188,184.981,4,17C4oPQ3sTpF11pi9yvGcs,Not The American Average,0.0685
1754,Define The Great Line,Underoath,242413,0.959,,0.000237,2,0.356,-3.139,0,57.0,0.0874,91.938,4,313yF0VXTCmFFoYEJF7nBQ,Writing On The Walls,0.171
1755,Dead Throne,The Devil Wears Prada,184773,0.99,,0.0447,4,0.263,-2.901,1,36.0,0.158,164.892,4,6clSq0mAWWyBxJ41J4fUnw,Born To Lose,0.173
1756,The Hollow,Memphis May Fire,242067,0.977,,0.0,1,0.296,-2.583,0,51.0,0.193,128.278,4,4SAeLRKTvdvEKUvpYIoBzT,The Sinner,0.42
1757,Earthbound,Bury Tomorrow,222101,0.988,,2.37e-05,1,0.281,-3.078,1,0.0,0.0721,99.89,4,2TgqTZF3NMFQtQlBHStXnF,Earthbound,0.283
1758,His Last Walk,blessthefall,235640,0.926,,0.043,2,0.291,-4.027,1,50.0,0.132,201.231,4,75rctYH1J87zkJ51c4cxaq,Guys Like You Make Us Look Bad,0.0703
1759,The March,Unearth,217133,0.921,,0.0515,7,0.123,-5.663,1,45.0,0.0787,166.307,4,76u2aab2a33Ohs7dOKoUOa,My Will Be Done,0.535
1760,Opposite of December,Poison The Well,164000,0.872,,1.26e-06,9,0.31,-6.611,1,12.0,0.131,116.964,5,0bCt5NYTCWKIqtEP2ZcF60,Nerdy,0.238
1761,Deceiver (Deluxe Edition),The Word Alive,241107,0.912,,0.0,1,0.227,-5.238,1,45.0,0.062,175.157,4,4POJUFV0qevJyeAX0j2mxR,Heartless,0.246
1762,Apologies Are For The Weak,Miss May I,212693,0.987,,0.0,1,0.27,-2.375,0,50.0,0.139,114.999,4,5lnhmR6sRpEr3N3Nuu0TNe,Forgive And Forget,0.147
1763,Deliver Us,Darkest Hour,228920,0.957,,0.0897,7,0.365,-4.391,1,46.0,0.147,80.095,4,1bS5mbtzxAZ3fh8LYshmN6,DEMON(S),0.105
1764,I Am Nemesis,Caliban,260947,0.913,,1.46e-05,11,0.236,-3.094,0,43.0,0.0399,92.482,4,23ttPeTdUAaOC9RSXb3Ze6,Memorial,0.233
1765,"This Is Love, This Is Murderous",Bleeding Through,297173,0.916,,0.000339,11,0.104,-6.726,0,33.0,0.147,146.328,4,0gzpsH7lGGSo5wvSdf58yR,Love Lost In a Hail of Gun Fire,0.295
1766,Losing All Hope Is Freedom,Evergreen Terrace,202480,0.911,,0.000441,7,0.597,-6.196,0,28.0,0.0557,104.427,4,0590IyK8VAMkVlSPevIG5n,Sweet Nothings Gone Forever,0.173
1767,Give Them Rope - Reissue,Coalesce,191560,0.959,,0.886,1,0.259,-5.332,1,30.0,0.174,95.652,4,1FcQMZIAZryl1Nf3ofQsri,Have Patience,0.137
1768,Rage,Attila,214013,0.928,,0.00334,6,0.321,-4.501,0,0.0,0.179,139.961,3,2rwL8EM5fdH3TKqKxbDjQw,Rage,0.528
1769,We Are the Romans,Botch,311280,0.92,,0.865,11,0.335,-4.512,0,30.0,0.102,74.811,4,2OAod8HcgCJpVEkkT5JdSm,To Our Friends in the Great White North,0.184
1770,Imprint,Vision Of Disorder,216067,0.992,,0.514,9,0.27,-2.75,1,32.0,0.0912,97.249,4,6Gu0htTmGIalXKO8mOuSTp,By the River,0.144
1771,That Within Blood Ill-Tempered,Shai Hulud,216240,0.972,,0.000253,0,0.167,-5.869,1,34.0,0.13,94.59,4,1MckfctaMslLD36YrhIx2x,Scornful Of The Motives And Virtue Of Others,0.432
1772,Of Love And Lunacy,Still Remains,230133,0.995,,0.00284,8,0.322,-3.174,1,40.0,0.134,193.946,3,3T8WTbGrVFWI2eWrDqylTI,The Worst Is yet to Come,0.143
1773,The Silent Circus,Between The Buried And Me,347760,0.913,,0.153,4,0.232,-5.772,1,38.0,0.0915,148.641,3,2Fui3xJLasH473qnBa2T6C,Mordecai,0.266
1774,New Demons,I See Stars,302160,0.974,,0.0517,4,0.137,-3.423,0,52.0,0.105,143.009,4,7xsfPgbNn4cNSGVaNygXEQ,Murder Mitten,0.121
1775,The Art Of Balance,Shadows Fall,271547,0.959,,0.000686,1,0.203,-4.058,1,35.0,0.155,89.583,4,2zzZMm44B889xDwCqN6uod,Thoughts Without Words,0.322
1776,Hot Damn!,Every Time I Die,178469,0.964,,3.14e-05,2,0.179,-4.838,1,39.0,0.103,92.576,4,47dpubrQXYmHnQ0ccloxSV,Ebolarama,0.266
1777,Progression Through Unlearning,Snapcase,153587,0.958,,1.03e-05,6,0.376,-4.167,1,39.0,0.0983,98.287,4,4XetuNNt2wx5lkZGS4L5r5,Caboose,0.559
1778,Until Your Heart Stops,Cave In,125360,0.903,,3.87e-05,0,0.267,-5.795,0,25.0,0.099,89.563,4,7pZEnwTM42g5nG88X1b49U,Moral Eclipse,0.125
1779,Jane Doe,Converge,79333,0.968,,0.00959,9,0.253,-3.648,0,43.0,0.201,168.116,4,1ui9EPnCqTurWbYICi9Gld,Concubine,0.187
1780,Destroy the Machines,Earth Crisis,227293,0.823,,0.00768,7,0.172,-8.854,1,33.0,0.0771,99.912,4,7A6RdXj2pbijDBRFV6US94,Forced March,0.222
1781,Calculating Infinity,The Dillinger Escape Plan,271307,0.925,,0.000312,9,0.0577,-6.767,0,40.0,0.157,138.946,5,3zlaF6d64vPWScaR0hSaqB,43% Burnt,0.282
1782,Where Blood And Fire Bring Rest,Zao,159360,0.758,,0.579,0,0.173,-7.7,1,34.0,0.0655,145.439,4,0rZafkLnrcAFbVTrMo2NIl,"Lies Of Serpents, A River Of Tears",0.152
1783,Bless The Martyr And Kiss...,Norma Jean,295813,0.948,,0.00515,5,0.306,-5.623,0,45.0,0.138,81.636,4,7qwqtk58ZpQjlGM8WFIrt7,Memphis Will Be Laid To Waste - Bless The Matyr Album Version,0.158
1784,Too Bad You're Beautiful,From Autumn To Ashes,565973,0.752,,0.009,9,0.112,-6.481,0,40.0,0.0441,93.758,3,4eRtGBzP92gjIMOtal2kNB,Short Stories With Tragic Endings,0.0585
1785,RAMMSTEIN,Rammstein,322340,0.895,,0.349,7,0.0985,-5.242,1,73.0,0.0442,120.117,4,2bPGTMB5sFfFYQ2YvSmup0,DEUTSCHLAND,0.237
1786,Bismarck,Sabaton,313984,0.859,,0.0012,6,0.263,-5.546,0,67.0,0.0431,95.036,4,39m87lOMd5ccENPVvAT7gH,Bismarck,0.434
1787,RAMMSTEIN,Rammstein,231603,0.912,,0.00136,0,0.359,-4.159,1,70.0,0.0912,125.031,4,7j43FohbLVulScL7S9sQZk,AUSLÄNDER,0.479
1788,Gravity,Bullet For My Valentine,227864,0.971,,0.0,11,0.322,-4.284,0,58.0,0.0697,97.625,4,0S674qD7nVFL0L7pHs6wUO,Over It,0.701
1789,All Out Life,Slipknot,340132,0.97,,0.136,0,0.0871,-2.838,1,67.0,0.116,106.558,4,6vAQtUlYrzolE6SS9QCTs5,All Out Life,0.0506
1790,Eat The Elephant,A Perfect Circle,281781,0.903,,0.00124,4,0.235,-5.956,0,55.0,0.175,106.329,3,44OUZyiPnJc4pOZw4J6pid,The Doomed,0.239
1791,War Eternal,Arch Enemy,256053,0.98,,0.163,5,0.129,-4.369,0,58.0,0.0731,155.045,4,0WZZENH0kt3O2cBE8q5IRq,War Eternal,0.285
1792,1000hp,Godsmack,226540,0.948,,1.41e-05,6,0.0525,-3.951,0,52.0,0.0515,92.091,4,3NW1h8l6EY5N6HNBL83S4V,1000hp,0.471
1793,Rock or Bust,AC/DC,183053,0.825,,0.000134,8,0.134,-3.977,1,65.0,0.04,98.057,4,2vyae4DvSU2gs8OMOGwXF2,Rock or Bust,0.56
1794,Human,Three Days Grace,179160,0.95,,0.0,9,0.0377,-4.067,1,68.0,0.0641,178.018,4,6OMO6WdRhSfjMPAiPT94wH,Painkiller,0.438
1795,Infestissumam,Ghost,350187,0.705,,0.0155,7,0.659,-5.134,1,53.0,0.0458,122.025,4,3yiyZW5sYNg3VvIejh10sK,Year Zero,0.137
1796,Atlas,Parkway Drive,258587,0.99,,0.000405,6,0.165,-3.498,1,58.0,0.156,110.313,4,4G8EhnfKvBQVlOJ4xXCHpQ,Wild Eyes,0.197
1797,Beyond Hell / Above Heaven,Volbeat,263080,0.903,,5.85e-06,10,0.244,-4.49,1,63.0,0.0825,109.118,3,5mNbJIYaKkphf5WqwhXhva,A Warrior's Call,0.429
1798,Sol Invictus,Faith No More,315987,0.943,,0.451,9,0.105,-4.716,1,39.0,0.068,163.085,4,2yTQLaObN0aYAVq133eS09,Superhero,0.375
1799,The Oracle (Deluxe Edition),Godsmack,201667,0.808,,0.00336,10,0.114,-5.484,1,67.0,0.0407,95.19,4,4a9i7rCLfPjbS1sNamZeQN,Cryin' Like A Bitch!!,0.472
1800,Northern Chaos Gods,Immortal,265830,0.979,,0.951,4,0.318,-4.792,0,0.0,0.0992,112.741,3,5dc8AV4fXL91eXVozDi1lq,Northern Chaos Gods,0.0369
1801,Human,Three Days Grace,200147,0.97,,2.62e-06,2,0.189,-4.538,0,68.0,0.0668,75.106,4,2UDumaw7osnyjH7RZ2DLpB,I Am Machine,0.476
1802,Litourgiya,Batushka,345533,0.844,,0.721,6,0.123,-6.882,1,44.0,0.0737,119.995,4,1cQXDosKkPHAZVi7YWYX15,Yekteniya I,0.0654
1803,This Is Where It Ends,All Shall Perish,202365,0.989,,0.00309,4,0.354,-1.652,0,0.0,0.132,79.868,4,1WHxFiwlqj2uuvvl6BbCm4,There Is Nothing Left,0.0906
1804,About That Life,Attila,157053,0.931,,0.102,1,0.307,-4.612,1,53.0,0.0384,114.986,4,14ZX4MpuG9XW1MaZY5drY0,Middle Fingers Up,0.473
1805,Red. White. Green.,Upon A Burning Body,193855,0.972,,0.0,4,0.161,-3.904,1,48.0,0.215,102.409,4,5M0V9mmSyxDbjgDQ5ktoLV,Texas Blood Money,0.0507
1806,Blood For Blood,HELLYEAH,291132,0.923,,0.0,8,0.22,-3.495,1,54.0,0.0529,172.046,3,0r3ur5jBMpjkcrqbVVvgs7,Moth,0.451
1807,Dark Skies,Fit For A King,287999,0.95,,1.13e-05,1,0.0716,-4.351,0,57.0,0.102,187.955,4,13zKsRskPB1TD9lWtbMoXH,The Price of Agony,0.401
1808,Transit Of Venus,Three Days Grace,181987,0.792,,0.0,7,0.0448,-5.013,1,60.0,0.0603,153.023,4,0XGV1bem5W9ICY2rgleryV,Chalk Outline,0.663
1809,Deadweight,Wage War,205987,0.968,,0.00868,6,0.683,-5.324,1,61.0,0.12,149.989,4,0Pl5XX0MbdQ5E702GBhnUn,Stitch,0.392
1810,The Legacy of Shi,Rise Of The Northstar,251560,0.969,,0.132,7,0.952,-3.396,1,0.0,0.0817,105.022,4,4XixK9sp4Rq1UbvKXZSyt4,Here Comes The Boom,0.223
1811,Nightmare,Avenged Sevenfold,374453,0.949,,9.98e-05,2,0.2,-4.928,1,72.0,0.0787,129.984,4,4UEo1b0wWrtHMC8bVqPiH8,Nightmare,0.233
1812,Blood,In This Moment,245533,0.883,,0.0,11,0.0813,-3.821,0,65.0,0.047,90.001,4,2tAzcTFry1OhmNERFjUR93,Whore,0.544
1813,Delirium,Lacuna Coil,317191,0.933,,0.00643,9,0.0784,-4.544,1,41.0,0.121,135.977,4,3mEExxNbWKdTJImI7KTvU0,The House of Shame,0.0773
1814,Mis-An-Thrope,DED,194868,0.967,,0.0,1,0.264,-3.548,1,49.0,0.0873,109.03,4,2JKNnH7OFhyPNLF90PoEDB,Anti-Everything,0.365
1815,Day One (Deluxe),From Ashes to New,213053,0.944,,7.55e-06,5,0.0362,-5.151,0,60.0,0.145,74.994,4,4Vai27xbSu7N9K7RNxVmG8,Through It All,0.494
1816,Conspiracy,The Raven Age,253000,0.971,,0.000327,2,0.0873,-4.239,1,51.0,0.1,85.027,4,4uTEG0XN5AF7aZdSAuVkLX,Fleur de lis,0.252
1817,N.A.T.I.O.N.,Bad Wolves,237065,0.89,,2.98e-06,1,0.204,-4.175,0,65.0,0.0774,137.973,4,34lLAsdH4Y5TLf1B2SIj1I,Killing Me Slowly,0.276
1818,Unconditional,Memphis May Fire,236427,0.993,,0.0,9,0.0797,-2.374,1,48.0,0.155,140.058,4,6d05C2cR01olKsCJoUvNgG,No Ordinary Love,0.214
1819,Rise of the Blood Legion- The Best of (Chapter 1),In This Moment,207747,0.958,,0.0,9,0.4,-2.735,0,53.0,0.158,140.055,4,27ce3PuoDdndLsktG0RvfV,Blood,0.505
1820,Tracing Back Roots,We Came As Romans,248493,0.974,,0.0,0,0.726,-4.286,0,0.0,0.108,134.974,4,4quQVCnbwQ5kraewiIWFjV,Hope,0.357
1821,Shadows Inside,Miss May I,236549,0.972,,1.08e-05,10,0.153,-4.08,0,0.0,0.192,179.959,4,0dGJAoX4Gj4hWL8ipTtumN,Shadows Inside,0.296
1822,Earthbound,Bury Tomorrow,222101,0.988,,2.37e-05,1,0.281,-3.078,1,0.0,0.0721,99.89,4,2TgqTZF3NMFQtQlBHStXnF,Earthbound,0.283
1823,Brainwashed (Deluxe),While She Sleeps,307933,0.984,,3.76e-06,7,0.17,-3.389,1,49.0,0.107,136.05,4,04np64OjIt01Z7KSYWwhcC,Four Walls,0.109
1824,Venom (Deluxe Edition),Bullet For My Valentine,254613,0.98,,0.0,2,0.359,-4.075,0,64.0,0.0854,134.335,4,1KCAEG6JcsTzi8ddZzs0nk,You Want a Battle? (Here's a War),0.283
1825,Challenger,Memphis May Fire,252320,0.942,,4.45e-06,6,0.112,-3.254,0,51.0,0.107,118.002,4,0xAA90OfUjpnxCw4Rf162Q,Miles Away - feat. Kellin Quinn,0.515
1826,We Are Not Your Kind,Slipknot,260773,0.946,,0.0253,7,0.0604,-2.188,1,74.0,0.0469,101.305,4,5mpUKTdskZea0gStWzeHUZ,Unsainted,0.237
1827,"I, the Mask",In Flames,229816,0.979,,7e-06,10,0.0689,-4.496,0,0.0,0.11,120.028,4,2VWSItAetzRP6QwGiw0X3m,I Am Above,0.18
1828,Verkligheten,Soilwork,265824,0.972,,0.855,11,0.11,-4.906,0,0.0,0.101,105.022,4,5yekYQ8dIMx7sZi8hjSzbv,Stålfågel,0.0942
1829,Black Flame,Bury Tomorrow,233964,0.982,,5.41e-06,5,0.16,-3.779,0,56.0,0.0625,148.926,4,6REc2Tq4G2RW5zKXtusTLF,Black Flame - Single Edit,0.15
1830,You Are We,While She Sleeps,295763,0.926,,0.0,6,0.447,-4.728,0,0.0,0.0753,92.994,4,3CwvzIEwwh0NR2QIpDvGVU,Silence Speaks (feat. Oli Sykes),0.312
1831,Phantom Antichrist,Kreator,270920,0.98,,0.3,6,0.277,-4.945,0,0.0,0.103,103.06,4,4UJYk5dFZAVCDWpLPQJ385,Phantom Antichrist,0.111
1832,Strength in Numbers,The Haunted,295560,0.962,,0.157,2,0.611,-5.239,1,41.0,0.0499,103.589,4,2WQXTG8wjeMf9lkSJTmG0L,Preachers of Death,0.256
1833,Beast,DevilDriver,292813,0.993,,0.00038,7,0.133,-3.851,1,25.0,0.143,110.022,4,0x1tsuUEKoZzdTCilkqcSn,Dead To Rights,0.272
1834,Sounds of a Playground Fading,In Flames,210646,0.968,,0.35,10,0.0962,-2.665,0,51.0,0.057,110.022,4,0n4P0Jb7OSNvaVrtV0oZTH,Deliver Us,0.379
1835,The Ride Majestic,Soilwork,249480,0.966,,0.0,11,0.0674,-4.45,0,0.0,0.0985,162.312,4,2ZVkLbok9UgWikiBWIggR9,The Ride Majestic,0.12
1836,Resolution,Lamb of God,270693,0.993,,8.32e-06,1,0.288,-3.341,1,47.0,0.131,129.986,5,52lWFbQaG8VajS7y41hafF,Ghost Walking,0.322
1837,The Sin and the Sentence,Trivium,243853,0.928,,5.03e-06,10,0.297,-4.659,0,63.0,0.0635,113.043,4,5yDJpu0xh0d1w13gXaE3lS,The Heart from Your Hate,0.565
1838,Gods of Violence,Kreator,278200,0.968,,0.0409,7,0.12,-4.551,1,0.0,0.0775,101.59,4,5Mp3MFneLLCVGW3O5kYMvm,Satan Is Real,0.255
1839,Madness,All That Remains,204427,0.874,,0.0,4,0.16,-5.058,0,43.0,0.0523,85.947,4,3CPsPpLW6vwrgGX9qPxoPs,Madness,0.379
1840,Winter Kills,DevilDriver,244493,0.963,,0.0101,3,0.373,-4.288,0,48.0,0.0857,119.055,4,2KfWw8uwvCFOasBZ7xsmZo,Sail,0.114
1841,Revival,Light The Torch,235013,0.975,,0.00344,2,0.268,-4.31,0,0.0,0.171,163.168,4,6WortO2DtGmzG1QCAOZcsW,Calm Before the Storm,0.311
1842,Cloud Factory (Re-Issue),Jinjer,236027,0.974,,3.85e-06,1,0.193,-1.906,1,46.0,0.182,110.219,3,65YTkL1HqiFPcAuCabVwMf,Outlander,0.183
1843,VII: Sturm und Drang (Deluxe Version),Lamb of God,284837,0.969,,0.0851,1,0.0916,-4.638,1,0.0,0.113,192.177,4,7swi5fO3kjE4YHVPxOynRq,512,0.124
1844,Heart of the Hurricane,Beyond The Black,219998,0.833,,0.0,2,0.294,-5.743,0,45.0,0.0422,140.005,4,1TihxslPPJTFqLQsgkW3LT,Heart of the Hurricane,0.334
1845,The Nexus,Amaranthe,196040,0.963,,0.0,6,0.0916,-4.938,1,58.0,0.124,104.984,4,3FA9wGCQWqyoqWDPhsGtO1,The Nexus,0.636
1846,For We Are Many,All That Remains,238307,0.961,,0.0,1,0.0782,-2.338,0,52.0,0.0611,103.027,4,47fPXkWBYmYLcRCGrXgoYq,The Last Time,0.331
1847,Bringer of Pain,Battle Beast,273520,0.922,,0.000212,6,0.312,-5.524,0,0.0,0.0501,104.99,4,0HZxvWKldT1y98p7aJ4DuV,King for a Day,0.78
1848,Berserker,Beast In Black,302667,0.957,,5.15e-05,2,0.125,-6.238,1,0.0,0.0546,145.992,4,6UZIV2FSS4sbj1rl3yYlcV,Blind and Frozen,0.532
1849,King Of Everything,Jinjer,305571,0.849,,0.00205,9,0.0745,-5.788,0,0.0,0.0376,140.002,1,65NCSimdLk7UIWwOKJPOJB,Pisces,0.257
1850,Prophecy of Ragnarök,Brothers of Metal,272292,0.743,,0.000111,1,0.276,-5.57,0,61.0,0.0272,86.953,4,3V417nSM4Ilh0Tt5CqustV,Yggdrasil,0.481
1851,The Evil Divide,Death Angel,278381,0.976,,0.0732,8,0.089,-3.756,1,0.0,0.0691,95.311,4,7ISJuM9TQdwBEaDxIHSL9Z,The Moth,0.329
1852,MASSIVE ADDICTIVE,Amaranthe,197853,0.914,,0.000255,7,0.0838,-3.929,1,64.0,0.0905,140.042,4,5VToMJACRoeT0YZNs5CYyp,Drop Dead Cynical,0.485
1853,Blood In Blood Out,Exodus,264600,0.977,,0.0761,2,0.262,-4.866,1,0.0,0.0597,104.974,4,42MQjzIyuDoA5PN3Ag1VRn,Salt The Wound,0.359
1854,The Grinding Wheel,Overkill,449787,0.98,,0.0152,4,0.0895,-4.436,0,0.0,0.0971,198.987,4,7Gfv4FtBwQZpqeBHQUI1C7,"Mean, Green, Killing Machine",0.441
1855,Hardwired…To Self-Destruct (Deluxe),Metallica,350644,0.977,,0.0052,4,0.0555,-3.585,0,53.0,0.0591,178.44,4,6F5RvdxWcLOJW7LAGuc24r,Moth Into Flame,0.369
1856,Slow Death,Carnifex,258868,0.964,,0.00733,1,0.727,-3.079,1,0.0,0.0954,110.005,4,5YX0zLvUSH4B4y48cLI7mF,Drown Me in Blood,0.174
1857,Our Endless War,Whitechapel,267613,0.994,,0.000149,11,0.139,-3.429,0,53.0,0.18,115.103,4,6rLEeo9rNT87t2xHry8xUl,The Saw Is the Law,0.216
1858,Tomorrow We Die Alive,Born Of Osiris,264774,0.991,,0.000579,1,0.106,-3.458,1,51.0,0.281,155.045,4,7sxiG6BuAb28nh3qGmbz7L,Machine,0.0519
1859,Dig Deep,After The Burial,273194,0.955,,0.0133,6,0.207,-4.888,1,59.0,0.154,126.009,4,5QLH7zAdcAJLgR25gtvtoK,Lost In The Static,0.193
1860,Matriarch,Veil Of Maya,189858,0.991,,0.0,7,0.107,-1.731,1,55.0,0.0996,110.001,3,3WERezDCiZxIDfghCax9uJ,Mikasa,0.222
1861,Coma Ecliptic,Between The Buried And Me,455920,0.971,,0.00079,7,0.284,-4.495,1,45.0,0.139,145.088,4,5EM6ySpK1SYeof4jm72psM,The Coma Machine,0.249
1862,Speaker Of The Dead,Emmure,230400,0.977,,0.0381,2,0.225,-4.461,1,50.0,0.131,135.926,3,2WmsTe2ceWhCFJI376D2QF,Solar Flare Homicide,0.0903
1863,Laugh Tracks,Knocked Loose,180097,0.954,,1.92e-05,11,0.25,-5.249,0,49.0,0.116,157.456,4,1HD11vDTcCQB2n1pUKSEdc,Deadringer,0.329
1864,Forever,Code Orange,187947,0.883,,0.774,7,0.185,-4.205,1,45.0,0.0855,81.188,4,1G6czdqgskwJ4cBgx9CDAJ,Forever,0.43
1865,Sunbather,Deafheaven,554573,0.804,,0.916,7,0.384,-4.669,1,46.0,0.0766,82.211,4,6l3A2EWZSOA8LTMmzRCyD3,Dream House,0.0957
1866,Repentless,Slayer,199867,0.994,,0.0934,8,0.145,-7.338,0,0.0,0.0623,104.111,4,65POu6kUQdR33JxwN92afX,Repentless,0.247
1867,Machine Messiah,Sepultura,330173,0.971,,0.00353,7,0.0518,-5.56,1,0.0,0.179,123.89,4,2L1UifessLANOeMMSOdXAQ,Phantom Self,0.154
1868,Unto the Locust (Special Edition),Machine Head,456320,0.956,,0.0203,7,0.125,-3.634,1,57.0,0.149,122.897,4,2fed1yXI1clOEddfGyKyH2,Locust,0.228
1869,L'Enfant Sauvage (Special Edition),Gojira,257733,0.995,,0.438,8,0.364,-5.698,1,57.0,0.185,87.803,3,4PWxt9Fy949kUtkEi2GI5V,L'enfant sauvage,0.079
1870,Venomous Rat Regeneration Vendor,Rob Zombie,208013,0.955,,4.41e-05,0,0.461,-3.865,1,51.0,0.0857,138.024,4,7a4F5tT3vztlPrGQzIcf4z,Dead City Radio And The New Gods Of Supertown,0.463
